epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,64.0883,1.08052,0.85876,1.00822,0.82977,0.83929,0.84428,0.55597,1.16663,0.836,1.06224,0.000990365,0.000990365,0.000990365
43,65.2812,1.07191,0.84554,0.98279,0.85853,0.7869,0.84122,0.58068,1.1332,0.80805,1.06034,0.000973861,0.000973861,0.000973861
44,66.5807,1.07055,0.83851,0.977,0.71403,0.83101,0.73955,0.49174,1.17606,0.84584,1.05111,0.000957358,0.000957358,0.000957358
45,67.7793,1.11926,0.87525,1.00862,0.75278,0.83738,0.73838,0.49645,1.205,0.86219,1.07788,0.000940855,0.000940855,0.000940855
46,69.2964,1.10209,0.89481,1.00569,0.74162,0.73214,0.67168,0.43926,1.33899,0.89394,1.16205,0.000924352,0.000924352,0.000924352
47,70.948,1.09684,0.84427,0.98387,0.81018,0.76786,0.76321,0.48371,1.24823,0.87753,1.08424,0.000907848,0.000907848,0.000907848
48,72.6636,1.08629,0.81759,0.98287,0.91281,0.82143,0.8418,0.52774,1.18417,0.84002,1.05584,0.000891345,0.000891345,0.000891345
49,74.8488,1.10107,0.80728,0.98919,0.95395,0.85714,0.87265,0.57821,1.18957,0.80851,1.05773,0.000874842,0.000874842,0.000874842
50,76.4434,1.08416,0.79531,0.99488,0.88182,0.78571,0.84258,0.55378,1.17645,0.82377,1.04468,0.000858338,0.000858338,0.000858338
51,77.6641,1.07275,0.80793,0.99057,0.89021,0.79841,0.85567,0.57405,1.16543,0.80564,1.02458,0.000841835,0.000841835,0.000841835
52,78.9155,0.98323,0.77316,0.96845,0.91962,0.83396,0.88569,0.59853,1.10779,0.73209,1.00956,0.000825332,0.000825332,0.000825332
53,80.2796,1.00314,0.74991,0.93715,0.95719,0.80357,0.89522,0.58025,1.16052,0.71456,1.06264,0.000808828,0.000808828,0.000808828
54,81.5488,1.02944,0.76241,0.96364,0.87393,0.89286,0.91472,0.59805,1.11173,0.70835,1.0233,0.000792325,0.000792325,0.000792325
55,82.7588,1.04141,0.79771,0.98434,0.89686,0.82143,0.89023,0.59691,1.10164,0.73877,0.99684,0.000775822,0.000775822,0.000775822
56,83.9845,1.02175,0.7867,0.96519,0.86948,0.91071,0.9182,0.6204,1.06939,0.68578,0.98102,0.000759318,0.000759318,0.000759318
57,85.4669,1.007,0.73223,0.96476,0.90714,0.875,0.91163,0.62471,1.0788,0.67874,1.00348,0.000742815,0.000742815,0.000742815
58,87.4495,0.9687,0.74378,0.92967,0.93032,0.83929,0.91068,0.61153,1.08406,0.70829,1.03659,0.000726312,0.000726312,0.000726312
59,89.3032,0.98798,0.7268,0.95407,0.9188,0.80897,0.88027,0.59112,1.1501,0.76036,1.0914,0.000709809,0.000709809,0.000709809
60,90.8266,0.95746,0.72982,0.9672,0.91254,0.80513,0.85625,0.60374,1.12921,0.75762,1.04567,0.000693305,0.000693305,0.000693305
61,92.0336,0.94127,0.6902,0.95574,0.85216,0.78571,0.82114,0.5642,1.17835,0.82235,1.06601,0.000676802,0.000676802,0.000676802
62,93.2087,0.95475,0.70343,0.95499,0.90255,0.83929,0.87497,0.5709,1.19557,0.77431,1.04807,0.000660299,0.000660299,0.000660299
63,94.6579,1.04248,0.73016,0.97066,0.88853,0.83929,0.8924,0.60635,1.11524,0.71591,1.01301,0.000643795,0.000643795,0.000643795
64,96.1294,1.00256,0.7436,0.96028,0.89449,0.89286,0.90031,0.59212,1.15261,0.71316,1.02492,0.000627292,0.000627292,0.000627292
65,97.3707,1.0253,0.73713,0.96235,0.93863,0.91071,0.91393,0.61064,1.11362,0.68711,1.00849,0.000610789,0.000610789,0.000610789
66,98.6086,0.97105,0.71867,0.94479,0.97665,0.83929,0.90189,0.60507,1.12609,0.65825,1.0212,0.000594286,0.000594286,0.000594286
67,99.8424,0.93085,0.68755,0.93955,0.95717,0.83929,0.89422,0.61773,1.11003,0.64665,1.01189,0.000577782,0.000577782,0.000577782
68,101.506,1.00716,0.71652,0.93891,0.94473,0.83464,0.87813,0.59245,1.12619,0.67503,1.01678,0.000561279,0.000561279,0.000561279
69,103.4,0.94495,0.7109,0.94148,0.95412,0.83929,0.89613,0.61838,1.0672,0.66369,0.99836,0.000544776,0.000544776,0.000544776
70,105.209,0.97068,0.67801,0.94962,0.91931,0.82672,0.89639,0.63919,1.00337,0.67178,0.9787,0.000528272,0.000528272,0.000528272
71,106.577,0.96758,0.67347,0.9358,0.92512,0.86915,0.89827,0.63188,1.02784,0.63063,0.97916,0.000511769,0.000511769,0.000511769
72,107.775,0.97395,0.68943,0.92932,0.9306,0.875,0.89966,0.64454,1.07393,0.63986,0.98618,0.000495266,0.000495266,0.000495266
73,109.032,0.91603,0.66395,0.92464,0.95388,0.8516,0.89324,0.64424,1.03679,0.64626,0.98448,0.000478762,0.000478762,0.000478762
74,110.237,0.93541,0.67801,0.93335,0.95749,0.8563,0.90068,0.6276,1.09584,0.63601,1.0004,0.000462259,0.000462259,0.000462259
75,111.436,0.93003,0.65919,0.92604,0.97078,0.84785,0.90304,0.62513,1.07926,0.61158,0.9881,0.000445756,0.000445756,0.000445756
76,112.664,0.93073,0.66733,0.93814,0.98224,0.85714,0.90869,0.63629,1.03524,0.59996,0.96313,0.000429253,0.000429253,0.000429253
77,113.901,0.93564,0.66276,0.92531,0.94397,0.8866,0.93126,0.64061,1.03684,0.61923,0.96675,0.000412749,0.000412749,0.000412749
78,115.722,0.91842,0.64407,0.91683,0.96581,0.89285,0.94258,0.65819,1.03185,0.61081,0.96893,0.000396246,0.000396246,0.000396246
79,117.696,0.90875,0.65431,0.93016,0.94187,0.91071,0.9459,0.65909,1.07931,0.60588,0.97957,0.000379743,0.000379743,0.000379743
80,119.62,0.92122,0.6812,0.93678,0.95997,0.89286,0.93477,0.64271,1.10848,0.60201,0.99509,0.000363239,0.000363239,0.000363239
81,121.122,0.87702,0.62009,0.91449,0.955,0.91071,0.93954,0.66019,1.03925,0.57927,0.99306,0.000346736,0.000346736,0.000346736
82,122.378,0.90549,0.63796,0.95104,0.94718,0.89286,0.93324,0.65921,1.07843,0.59196,0.99824,0.000330233,0.000330233,0.000330233
83,123.576,0.90316,0.64994,0.92704,0.94463,0.91071,0.94246,0.6561,1.07906,0.5843,0.99519,0.000313729,0.000313729,0.000313729
84,124.772,0.84873,0.6401,0.91313,0.90165,0.92857,0.93962,0.64926,1.03493,0.58232,1.00477,0.000297226,0.000297226,0.000297226
85,126.005,0.8768,0.6428,0.9007,0.91608,0.92134,0.93621,0.63839,1.05142,0.59607,1.00544,0.000280723,0.000280723,0.000280723
86,127.654,0.87606,0.64252,0.92412,0.91068,0.92857,0.93154,0.64753,1.05587,0.58816,0.98844,0.00026422,0.00026422,0.00026422
87,128.852,0.89689,0.64623,0.93386,0.94259,0.94643,0.95028,0.64891,1.0857,0.58802,0.98189,0.000247716,0.000247716,0.000247716
88,130.651,0.89471,0.63205,0.91758,0.9167,0.94643,0.94532,0.65243,1.04575,0.58061,0.97704,0.000231213,0.000231213,0.000231213
89,132.502,0.88404,0.6289,0.908,0.91613,0.92857,0.94612,0.66356,1.0109,0.57918,0.97356,0.00021471,0.00021471,0.00021471
90,134.398,0.88125,0.61547,0.90297,0.992,0.90105,0.95205,0.68424,1.01119,0.58115,0.9748,0.000198206,0.000198206,0.000198206
91,137.278,0.85255,0.67411,0.92134,0.96833,0.96237,0.95741,0.6629,1.07185,0.59805,0.98819,0.000181703,0.000181703,0.000181703
92,138.462,0.82574,0.57998,0.9046,0.95184,0.86959,0.91265,0.62688,1.21696,0.6646,1.02329,0.0001652,0.0001652,0.0001652
93,139.619,0.87374,0.60556,0.90217,0.97664,0.90551,0.93393,0.62997,1.19607,0.66715,1.02635,0.000148696,0.000148696,0.000148696
94,140.785,0.83169,0.6016,0.89721,0.95486,0.91071,0.93806,0.66224,1.14112,0.64279,1.0136,0.000132193,0.000132193,0.000132193
95,141.982,0.80455,0.58125,0.88327,0.95552,0.91052,0.93355,0.66056,1.13822,0.6281,1.01054,0.00011569,0.00011569,0.00011569
96,143.677,0.78456,0.54565,0.89347,0.9488,0.91071,0.93751,0.65435,1.1274,0.61532,1.0003,9.91865e-05,9.91865e-05,9.91865e-05
97,144.861,0.77985,0.55798,0.90724,0.97317,0.90664,0.94403,0.66158,1.13258,0.60576,1.00194,8.26832e-05,8.26832e-05,8.26832e-05
98,146.335,0.77767,0.54529,0.88845,0.97399,0.86869,0.92657,0.65247,1.11894,0.59104,1.00263,6.61799e-05,6.61799e-05,6.61799e-05
99,148.109,0.78396,0.53988,0.90869,0.99674,0.88758,0.94532,0.65977,1.09254,0.57069,0.9958,4.96766e-05,4.96766e-05,4.96766e-05
100,149.939,0.77128,0.56516,0.90894,0.97245,0.9115,0.95116,0.66153,1.05105,0.55261,0.99439,3.31733e-05,3.31733e-05,3.31733e-05
